날짜,원/달러
2020-01-01,1155.07
2020-01-02,1155.02
2020-01-03,1157.95
2020-01-04,1157.95
2020-01-05,1157.95
2020-01-06,1165.89
2020-01-07,1167.54
2020-01-08,1168.3
2020-01-09,1162.49
2020-01-10,1159.73
2020-01-11,1159.73
2020-01-12,1159.73
2020-01-13,1158.92
2020-01-14,1154.95
2020-01-15,1158.2
2020-01-16,1158.91
2020-01-17,1160.73
2020-01-18,1160.73
2020-01-19,1160.73
2020-01-20,1161.46
2020-01-21,1159.61
2020-01-22,1170.01
2020-01-23,1165.76
2020-01-24,1168.6
2020-01-25,1168.6
2020-01-26,1168.6
2020-01-27,1170.24
2020-01-28,1177.7
2020-01-29,1176.21
2020-01-30,1179.68
2020-01-31,1188.64
2020-02-01,1188.64
2020-02-02,1188.64
2020-02-03,1195.96
2020-02-04,1190.81
2020-02-05,1183.9
2020-02-06,1184.4
2020-02-07,1186.28
2020-02-08,1186.28
2020-02-09,1186.28
2020-02-10,1192.39
2020-02-11,1188.17
2020-02-12,1182.29
2020-02-13,1179.51
2020-02-14,1184.59
2020-02-15,1184.59
2020-02-16,1184.59
2020-02-17,1183.44
2020-02-18,1185.38
2020-02-19,1191.05
2020-02-20,1193
2020-02-21,1205.21
2020-02-22,1205.21
2020-02-23,1205.21
2020-02-24,1206.97
2020-02-25,1219.17
2020-02-26,1216.04
2020-02-27,1212.81
2020-02-28,1212.68
2020-02-29,1212.68
2020-03-01,1212.68
2020-03-02,1200.21
2020-03-03,1189.71
2020-03-04,1181
2020-03-05,1185.23
2020-03-06,1188.82
2020-03-07,1188.82
2020-03-08,1188.82
2020-03-09,1188.7
2020-03-10,1200.94
2020-03-11,1185.75
2020-03-12,1192.71
2020-03-13,1211.21
2020-03-14,1211.21
2020-03-15,1211.21
2020-03-16,1211.7
2020-03-17,1232.87
2020-03-18,1239.76
2020-03-19,1256.5
2020-03-20,1258.36
2020-03-21,1258.36
2020-03-22,1258.36
2020-03-23,1254.85
2020-03-24,1273
2020-03-25,1234.21
2020-03-26,1233
2020-03-27,1213.4
2020-03-28,1213.4
2020-03-29,1213.4
2020-03-30,1212.73
2020-03-31,1224.71
2020-04-01,1218.8
2020-04-02,1236.7
2020-04-03,1227.85
2020-04-04,1227.85
2020-04-05,1227.85
2020-04-06,1236.42
2020-04-07,1224.64
2020-04-08,1215.43
2020-04-09,1216.26
2020-04-10,1211.11
2020-04-11,1211.11
2020-04-12,1211.11
2020-04-13,1212.04
2020-04-14,1215.97
2020-04-15,1212.5
2020-04-16,1224.72
2020-04-17,1228.98
2020-04-18,1228.98
2020-04-19,1228.98
2020-04-20,1216.26
2020-04-21,1220.62
2020-04-22,1233.53
2020-04-23,1234.05
2020-04-24,1233.54
2020-04-25,1233.54
2020-04-26,1233.54
2020-04-27,1230.5
2020-04-28,1222.64
2020-04-29,1221.81
2020-04-30,1211.11
2020-05-01,1213.94
2020-05-02,1213.94
2020-05-03,1213.94
2020-05-04,1224.8
2020-05-05,1224.18
2020-05-06,1222.57
2020-05-07,1229.6
2020-05-08,1220.11
2020-05-09,1220.11
2020-05-10,1220.11
2020-05-11,1219.7
2020-05-12,1223.41
2020-05-13,1226.84
2020-05-14,1227.51
2020-05-15,1227.53
2020-05-16,1227.53
2020-05-17,1227.53
2020-05-18,1233.09
2020-05-19,1225.27
2020-05-20,1225.18
2020-05-21,1227.4
2020-05-22,1233.27
2020-05-23,1233.27
2020-05-24,1233.27
2020-05-25,1240.56
2020-05-26,1240.95
2020-05-27,1230.99
2020-05-28,1238.26
2020-05-29,1238.03
2020-05-30,1238.03
2020-05-31,1238.03
2020-06-01,1231.47
2020-06-02,1223.05
2020-06-03,1220.12
2020-06-04,1215.95
2020-06-05,1216.54
2020-06-06,1216.54
2020-06-07,1216.54
2020-06-08,1201.85
2020-06-09,1195.9
2020-06-10,1198.52
2020-06-11,1190.79
2020-06-12,1206.21
2020-06-13,1206.21
2020-06-14,1206.21
2020-06-15,1203.61
2020-06-16,1208.65
2020-06-17,1212.29
2020-06-18,1215.53
2020-06-19,1212.6
2020-06-20,1212.6
2020-06-21,1212.6
2020-06-22,1211.89
2020-06-23,1209.53
2020-06-24,1208.45
2020-06-25,1206.2
2020-06-26,1202.37
2020-06-27,1202.37
2020-06-28,1202.37
2020-06-29,1203.63
2020-06-30,1199.66
2020-07-01,1199.44
2020-07-02,1201.67
2020-07-03,1199.25
2020-07-04,1199.25
2020-07-05,1199.25
2020-07-06,1199.66
2020-07-07,1192.04
2020-07-08,1196.84
2020-07-09,1192.68
2020-07-10,1197.07
2020-07-11,1197.07
2020-07-12,1197.07
2020-07-13,1200.52
2020-07-14,1203.87
2020-07-15,1205.01
2020-07-16,1201
2020-07-17,1205.23
2020-07-18,1205.23
2020-07-19,1205.23
2020-07-20,1203.53
2020-07-21,1201.02
2020-07-22,1194.03
2020-07-23,1197.38
2020-07-24,1201.95
2020-07-25,1201.95
2020-07-26,1201.95
2020-07-27,1201.49
